City,American Indian- and Alaska Native-owned firms percent 2007  ,Mean travel time to work (minutes) workers age 16+ 2006-2010  ,Manufacturers shipments 2007 (1000)  ,Persons under 18 years percent 2010  ,Persons below poverty level percent 2006-2010  ,Foreign born persons percent  2006-2010  ,Native Hawaiian and Other Pacific Islander-owned firms percent 2007  ,Bachelor's degree or higher pct of persons age 25+ 2006-2010  ,Asian persons percent 2010 (a)  ,Persons 65 years and over percent  2010  ,Hispanic-owned firms percent 2007  ,Population 2010  ,Persons reporting two or more races percent 2010  ,Total number of firms 2007  ,Homeownership rate 2006-2010  ,Persons under 5 years percent 2010  ,Persons per household 2006-2010  ,FIPS Code  ,Households 2006-2010  ,Housing units in multi-unit structures percent 2006-2010  ,Persons per square mile 2010  ,Merchant wholesaler sales 2007 (1000)  ,Women-owned firms percent 2007  ,American Indian and Alaska Native persons percent 2010 (a)  ,Asian-owned firms percent 2007  ,Persons of Hispanic or Latino origin percent 2010 (b)  ,Retail sales 2007 (1000)  ,Black-owned firms percent 2007  ,Black persons percent 2010 (a)  ,Housing units 2010  ,White persons percent 2010 (a)  ,Population 2000  ,Retail sales per capita 2007  ,White persons not Hispanic percent 2010  ,Population 2011 estimate  ,Median value of owner-occupied housing units 2006-2010  ,Language other than English spoken at home pct age 5+ 2006-2010  ,Living in same house 1 year &amp; over 2006-2010  ,Population percent change 2000 to 2010  ,Land area in square miles 2010  ,Native Hawaiian and Other Pacific Islander percent 2010 (a)  ,Per capita money income in past 12 months (2010 dollars) 2006-2010  ,Female persons percent 2010  ,Accommodation and food services sales 2007 (1000)  ,High school graduates percent of persons age 25+ 2006-2010  ,Median household income 2006-2010  
Butte-Silver Bow (balance),F,16,NA,0.21,0.175,0.022,F,0.23,0.005,0.164,F,33525,0.021,F,0.655,0.059,2.18,11397,14471,0.225,46.8,NA,F,0.019,F,0.037,NA,F,0.003,16373,0.944,33892,NA,0.922,NA,118700,0.054,0.816,-0.011,716.25,0.001,21479,0.495,NA,0.915,38178
Billings ,0.017,16.2,D,0.226,0.121,0.018,F,0.31,0.007,0.15,S,104170,0.029,11697,0.658,0.07,2.27,6550,43179,0.25,2399.5,2225969000,0.267,0.044,0.01,0.052,2406272000,0.005,0.008,46317,0.896,89847,23638,0.869,NA,169000,0.047,0.806,0.159,43.41,0.001,26449,0.517,335832000,0.92,46433
Belgrade ,F,23.5,NA,0.275,0.124,0.008,F,0.305,0.005,0.057,S,7389,0.025,1003,0.606,0.102,2.48,4975,2928,0.304,2272.1,19922000,0.244,0.01,F,0.038,208295000,F,0.004,3174,0.942,5728,25956,0.924,NA,188000,0.027,0.77,0.29,3.25,0.001,20950,0.495,27129000,0.982,45413
Havre ,0.072,12.4,NA,0.251,0.183,0.014,F,0.215,0.006,0.134,F,9310,0.04,721,0.639,0.08,2.41,35050,3617,0.245,2840.1,142645000,0.327,0.13,S,0.025,134161000,F,0.004,4285,0.816,9621,14047,0.806,NA,114000,0.034,0.793,-0.032,3.28,0.001,21995,0.502,21018000,0.943,42518
Helena Valley West Central ,F,19.2,NA,0.258,0.081,0.02,F,0.297,0.005,0.121,S,7883,0.02,434,0.862,0.063,2.67,35637,3069,0.009,297.5,D,0.23,0.012,F,0.02,12136000,F,0.003,3140,0.954,6983,NA,0.941,NA,196400,0.013,0.902,0.129,26.5,0.001,25153,0.497,D,0.915,56100
Helena ,F,13.7,NA,0.201,0.121,0.019,F,0.447,0.007,0.156,S,28190,0.026,3769,0.579,0.059,2.01,35600,12686,0.373,1724.3,167268000,0.28,0.023,F,0.028,775528000,F,0.004,13457,0.933,25780,26887,0.916,NA,185500,0.039,0.736,0.093,16.35,0.001,27583,0.52,106944000,0.951,46313
Sidney ,F,15.1,NA,0.233,0.142,0.025,F,0.145,0.004,0.148,F,5191,0.022,F,0.613,0.069,2.16,67900,2126,0.247,1951.5,NA,F,0.018,F,0.034,NA,F,0.001,2467,0.949,4774,NA,0.928,NA,103000,0.053,0.845,0.087,2.66,0,24752,0.494,NA,0.809,52460
Anaconda-Deer Lodge County,F,21.5,NA,0.189,0.212,0.01,F,0.188,0.003,0.192,F,9298,0.025,756,0.727,0.045,1.92,1675,4136,0.112,12.6,D,S,0.031,F,0.029,71477000,F,0.004,5122,0.931,9417,8067,0.916,NA,102600,0.035,0.79,-0.013,736.53,Z,21921,0.471,16363000,0.851,35310
Lockwood ,F,19.3,NA,0.285,0.102,0.007,F,0.17,0.001,0.091,F,6797,0.037,F,0.846,0.076,2.72,44200,2420,0.009,527,NA,F,0.049,F,0.06,NA,F,0.004,2651,0.895,4306,NA,0.86,NA,122300,0.049,0.891,0.578,12.9,Z,21180,0.49,NA,0.873,47059
Laurel ,F,18.2,NA,0.253,0.112,0.021,F,0.176,0.004,0.159,F,6718,0.021,700,0.672,0.072,2.3,42700,2850,0.236,3133.4,D,S,0.015,F,0.03,124096000,F,0.004,2943,0.953,6255,18978,0.93,NA,141300,0.022,0.85,0.074,2.14,Z,20969,0.52,11591000,0.87,40906
Kalispell ,0.01,15.6,NA,0.251,0.153,0.02,F,0.258,0.01,0.154,F,19927,0.026,3397,0.605,0.084,2.26,40075,8328,0.263,1712.7,587808000,0.2,0.013,F,0.029,781083000,F,0.002,9379,0.942,14223,38458,0.925,NA,189300,0.034,0.863,0.401,11.64,0.001,21336,0.527,96380000,0.9,39023
Sidney ,F,11,NA,0.251,0.095,0.044,F,0.292,0.023,0.153,F,6757,0.015,437,0.657,0.073,2.3,45295,2905,0.196,975.2,D,0.4,0.008,F,0.074,D,F,0.002,3184,0.923,6282,D,0.886,NA,98900,0.071,0.8,0.076,6.93,0.001,26684,0.515,20492000,0.937,47969
Scottsbluff ,F,13.9,NA,0.249,0.173,0.045,F,0.209,0.008,0.167,S,15039,0.022,1420,0.548,0.08,2.35,44245,6200,0.23,2419.8,249151000,0.276,0.034,F,0.291,444198000,F,0.008,6712,0.83,14732,30248,0.664,NA,93000,0.164,0.763,0.021,6.22,Z,19305,0.524,36871000,0.841,34631
Schuyler ,S,17.8,NA,0.338,0.147,0.347,F,0.104,0.002,0.097,F,6211,0.03,358,0.77,0.115,3.12,44035,1902,0.161,2405.5,D,0.226,0.017,F,0.654,77942000,F,0.013,1972,0.567,5371,15193,0.325,NA,87600,0.576,0.797,0.156,2.58,Z,17483,0.487,2749000,0.607,47123
Fremont ,F,16.4,395677000,0.242,0.14,0.06,F,0.182,0.006,0.173,F,26397,0.016,1998,0.626,0.073,2.38,17670,10614,0.22,2999,362966000,0.217,0.006,0.014,0.119,580561000,F,0.007,11427,0.892,25174,23034,0.853,NA,116600,0.115,0.823,0.049,8.8,0.003,21316,0.515,47474000,0.831,42917
Plattsmouth ,F,21.3,NA,0.266,0.063,0.019,F,0.15,0.002,0.147,F,6502,0.023,608,0.699,0.073,2.57,39345,2527,0.194,2100.8,D,S,0.004,F,0.04,109721000,F,0.006,2863,0.953,6887,15860,0.93,NA,101600,0.034,0.86,-0.056,3.1,0.002,22425,0.506,7037000,0.93,50678
Seward ,F,18.5,D,0.226,0.059,0.005,F,0.331,0.006,0.151,F,6964,0.014,412,0.71,0.063,2.35,44420,2571,0.21,1629.8,37547000,S,0.004,F,0.019,56981000,F,0.006,2796,0.968,6319,8482,0.954,NA,136500,0.035,0.757,0.102,4.27,Z,24585,0.519,10439000,0.925,55901
Blair ,F,19.5,NA,0.249,0.056,0.013,F,0.323,0.003,0.153,F,7990,0.011,1083,0.717,0.068,2.52,5350,2879,0.256,1454.6,D,0.194,0.003,F,0.029,632332000,F,0.008,3351,0.964,7512,80923,0.944,NA,141000,0.029,0.823,0.064,5.49,0.001,23398,0.521,11132000,0.935,56049
Gering ,F,15.9,NA,0.256,0.132,0.011,F,0.206,0.004,0.171,S,8500,0.024,835,0.71,0.074,2.43,18580,3345,0.189,1977.2,70887000,0.331,0.015,F,0.172,25130000,F,0.006,3601,0.896,7751,3289,0.798,NA,96400,0.081,0.827,0.097,4.3,0.001,22181,0.531,9529000,0.918,44175
Grand Island ,F,14.1,D,0.276,0.121,0.137,F,0.156,0.012,0.13,0.037,48520,0.024,4445,0.634,0.084,2.57,19595,18082,0.233,1708,553403000,0.243,0.01,S,0.267,962883000,S,0.021,19426,0.8,42940,21389,0.686,NA,102800,0.212,0.79,0.13,28.41,0.002,21220,0.502,86154000,0.808,43495
Hastings ,S,13.3,D,0.239,0.156,0.06,F,0.208,0.017,0.158,S,24907,0.015,2268,0.671,0.07,2.38,21415,9966,0.216,1847.7,178018000,0.212,0.005,F,0.098,341403000,F,0.01,10847,0.904,24064,13476,0.863,NA,90600,0.087,0.793,0.035,13.48,0.001,22590,0.506,41728000,0.875,41997
Wayne ,F,12.7,NA,0.155,0.184,0.025,F,0.385,0.007,0.124,F,5660,0.014,554,0.622,0.046,2.46,51840,1771,0.223,2564.6,34891000,S,0.005,F,0.048,64056000,F,0.021,2082,0.932,5583,12185,0.908,NA,101000,0.038,0.689,0.014,2.21,0.002,18735,0.508,D,0.947,51027
Crete ,F,14.6,D,0.257,0.186,0.194,F,0.184,0.025,0.109,F,6960,0.022,273,0.519,0.083,2.58,11370,2297,0.266,2382.7,14730000,0.267,0.005,F,0.357,81665000,F,0.01,2389,0.706,6028,13050,0.591,NA,97200,0.296,0.732,0.155,2.92,0.001,17971,0.502,8314000,0.748,39576
Chadron ,F,9.8,NA,0.195,0.28,0.028,F,0.394,0.008,0.131,F,5851,0.029,524,0.559,0.062,2.12,8605,2313,0.264,1519,D,S,0.051,F,0.036,153028000,F,0.016,2559,0.878,5634,28012,0.86,NA,89800,0.016,0.668,0.039,3.85,0.006,16831,0.51,12637000,0.931,29522
Omaha ,0.004,17.8,8853876000,0.251,0.153,0.091,F,0.324,0.024,0.114,0.024,408958,0.03,34344,0.601,0.075,2.44,37000,163014,0.301,3217.9,5606004000,0.266,0.008,0.017,0.131,7495144000,0.051,0.137,177518,0.731,390007,16940,0.68,NA,131900,0.134,0.798,0.049,127.09,0.001,26123,0.508,1041517000,0.883,46230
North Platte ,F,12.6,NA,0.249,0.115,0.019,F,0.174,0.007,0.155,0.018,24733,0.017,1948,0.633,0.076,2.28,35000,10605,0.2,1873.7,155071000,0.297,0.007,S,0.088,582763000,F,0.01,11450,0.931,23878,24233,0.88,NA,97800,0.045,0.805,0.036,13.2,Z,23556,0.512,65529000,0.903,40507
Kearney ,F,12.8,D,0.222,0.172,0.04,F,0.362,0.018,0.111,0.022,30787,0.014,3124,0.589,0.075,2.39,25055,11511,0.283,2410.1,473263000,0.249,0.003,F,0.073,593425000,F,0.01,12738,0.923,27431,19758,0.886,NA,130800,0.067,0.754,0.122,12.77,Z,22125,0.511,98408000,0.922,43920
Norfolk ,F,14,NA,0.245,0.131,0.063,F,0.212,0.006,0.146,0.019,24210,0.02,2467,0.616,0.077,2.33,34615,9783,0.277,2264.7,1441247000,0.26,0.014,F,0.121,559775000,F,0.016,10625,0.88,23516,24361,0.832,NA,102800,0.111,0.804,0.03,10.69,Z,21182,0.51,45526000,0.869,40415
York ,F,12.2,302130000,0.229,0.073,0.015,F,0.239,0.007,0.182,F,7766,0.012,852,0.733,0.069,2.2,54045,3393,0.215,1351.8,68380000,0.346,0.003,F,0.044,217497000,F,0.01,3633,0.949,8081,27795,0.926,NA,93900,0.03,0.794,-0.039,5.75,0.001,24658,0.51,26730000,0.914,44344
Chalco ,F,19.7,NA,0.277,0.017,0.023,F,0.331,0.014,0.037,F,10994,0.026,1101,0.774,0.085,2.56,8640,4198,0.164,3767.6,261365000,0.306,0.004,F,0.053,58565000,F,0.019,4330,0.918,10736,NA,0.891,NA,136500,0.042,0.9,0.024,2.92,Z,29417,0.485,4667000,0.969,68680
Papillion ,F,20.1,NA,0.273,0.056,0.029,F,0.365,0.015,0.11,S,18894,0.027,2002,0.731,0.066,2.73,38295,6864,0.238,2928.4,32494000,0.332,0.004,S,0.052,354028000,S,0.033,7240,0.907,16363,15511,0.876,NA,163800,0.048,0.867,0.155,6.45,Z,29780,0.512,22647000,0.958,72581
La Vista ,F,18.9,NA,0.259,0.073,0.036,F,0.314,0.032,0.075,F,15758,0.028,940,0.546,0.077,2.39,26385,6284,0.37,3681.8,70608000,0.319,0.004,0.097,0.065,240147000,F,0.039,6670,0.869,11699,14697,0.836,NA,143700,0.062,0.809,0.347,4.28,0.001,28457,0.517,D,0.957,57697
Columbus ,F,14.3,349726000,0.264,0.084,0.078,F,0.212,0.005,0.153,S,22111,0.018,2526,0.697,0.076,2.49,10110,8670,0.221,2245.7,118018000,S,0.009,F,0.163,437991000,F,0.005,9322,0.881,20971,20519,0.815,NA,106400,0.154,0.865,0.054,9.85,Z,23472,0.505,37988000,0.892,47175
Alliance ,F,10.2,NA,0.258,0.169,0.013,F,0.202,0.003,0.149,S,8491,0.029,942,0.637,0.071,2.32,905,3633,0.211,1800.8,43583000,S,0.046,F,0.123,75931000,F,0.005,4075,0.875,8959,9390,0.813,NA,88500,0.082,0.818,-0.052,4.72,Z,22545,0.516,11866000,0.879,42473
Lincoln ,S,17.3,3932884000,0.227,0.149,0.074,F,0.351,0.038,0.107,0.021,258379,0.03,21792,0.594,0.072,2.34,28000,102099,0.329,2899.4,2557840000,0.281,0.008,0.026,0.063,3526895000,0.018,0.038,110546,0.86,225581,14233,0.831,NA,140600,0.111,0.759,0.145,89.11,0.001,25146,0.5,457918000,0.927,48846
Beatrice ,S,19.9,D,0.226,0.149,0.012,F,0.182,0.006,0.204,F,12459,0.016,1292,0.642,0.068,2.28,3390,5384,0.225,1382,159022000,S,0.005,S,0.022,207389000,S,0.005,6075,0.961,12496,16233,0.95,NA,93700,0.027,0.793,-0.003,9.02,Z,20106,0.522,17794000,0.885,37500
Ralston ,F,17.5,NA,0.222,0.083,0.031,F,0.245,0.008,0.163,F,5943,0.019,485,0.709,0.065,2.38,40605,2502,0.273,3615,25793000,0.237,0.004,F,0.1,62935000,F,0.026,2711,0.897,6314,10309,0.854,NA,132300,0.074,0.877,-0.059,1.64,Z,26405,0.509,15616000,0.934,49685
South Sioux City ,F,15.9,404990000,0.314,0.178,0.259,F,0.098,0.029,0.104,0.067,13353,0.028,1113,0.597,0.101,2.8,46030,4539,0.276,2340.2,95025000,S,0.03,S,0.453,152853000,S,0.047,4739,0.627,11925,12730,0.436,NA,94900,0.403,0.799,0.12,5.71,0.002,17490,0.504,17368000,0.725,40457
Lexington ,F,12.1,D,0.325,0.165,0.376,F,0.092,0.01,0.093,0.13,10230,0.033,678,0.64,0.097,3.29,26910,3030,0.185,2273.3,D,0.246,0.012,F,0.604,174759000,F,0.066,3403,0.579,10011,17192,0.31,NA,82700,0.637,0.781,0.022,4.5,0.004,14769,0.483,12751000,0.538,40216
McCook ,F,11.5,NA,0.23,0.12,0.012,F,0.214,0.004,0.195,F,7698,0.013,950,0.65,0.068,2.16,29925,3426,0.166,1427.1,128945000,S,0.005,F,0.049,169665000,F,0.005,3717,0.958,7994,22946,0.928,NA,76100,0.022,0.826,-0.037,5.39,Z,21465,0.517,D,0.917,38974
Bellevue ,F,19.5,123722000,0.264,0.092,0.089,F,0.271,0.023,0.115,0.024,50137,0.039,3302,0.675,0.073,2.59,3950,19343,0.221,3162.8,9000000,0.276,0.007,0.031,0.119,573063000,0.037,0.06,20591,0.815,44382,11871,0.763,NA,137800,0.123,0.827,0.13,15.85,0.002,25425,0.508,70812000,0.917,56761
Nebraska City ,F,14.8,D,0.244,0.153,0.054,F,0.175,0.007,0.197,F,7289,0.016,580,0.666,0.07,2.36,33705,2933,0.173,1554.2,D,0.279,0.003,F,0.109,114830000,F,0.004,3265,0.915,7228,16367,0.865,NA,88700,0.069,0.763,0.008,4.69,0.002,20835,0.527,14033000,0.822,43069
Holdrege ,F,10,D,0.238,0.14,0.057,F,0.219,0.002,0.193,F,5495,0.01,642,0.735,0.066,2.18,22640,2396,0.166,1422.8,60175000,S,0.004,F,0.047,88754000,F,0.001,2589,0.967,5636,17160,0.94,NA,79000,0.071,0.867,-0.025,3.86,Z,24035,0.515,D,0.916,42033
Enterprise ,S,23.1,856896000,0.244,0.065,0.24,F,0.299,0.212,0.062,0.068,108481,0.061,4823,0.629,0.078,2.81,23770,35454,0.192,2332.3,1329419000,0.27,0.006,S,0.173,780131000,0.051,0.081,49563,0.563,14676,NA,0.481,NA,309400,0.3,0.696,6.392,46.51,0.009,32530,0.495,434780000,0.912,74214
Johnson Lane ,F,25.7,NA,0.212,0.028,0.031,F,0.293,0.012,0.208,F,6490,0.024,F,0.942,0.045,2.63,37190,2577,0.016,296.7,NA,F,0.008,F,0.065,NA,F,0.003,2643,0.938,4837,NA,0.893,NA,446400,0.052,0.949,0.342,21.87,Z,37129,0.503,NA,0.942,76422
Sun Valley ,S,22.5,NA,0.286,0.124,0.169,S,0.084,0.02,0.1,S,19299,0.038,S,0.791,0.076,3.03,71600,6206,0.049,1295.2,NA,S,0.018,S,0.364,42863000,S,0.014,6648,0.713,19461,NA,0.565,NA,164000,0.303,0.808,-0.008,14.9,0.006,18763,0.492,4646000,0.736,50249
Dayton ,F,27.2,NA,0.255,0.145,0.087,F,0.196,0.014,0.143,S,8964,0.034,746,0.814,0.066,3.22,17500,3055,0.08,281.8,D,0.244,0.014,F,0.161,49344000,F,0.006,3766,0.867,5907,NA,0.784,NA,209900,0.143,0.838,0.518,31.81,0.001,19946,0.5,D,0.883,53235
Reno ,0.003,18.6,3874991000,0.228,0.163,0.175,S,0.285,0.063,0.117,0.056,225221,0.042,22091,0.49,0.07,2.4,60600,89224,0.403,2186.4,3017548000,0.267,0.013,0.056,0.243,5014947000,0.015,0.029,102582,0.742,180480,23364,0.625,NA,290100,0.244,0.732,0.248,103.01,0.007,27714,0.492,1918046000,0.852,48895
Las Vegas ,0.007,25.3,872940000,0.257,0.131,0.223,S,0.211,0.061,0.12,0.099,583756,0.049,54557,0.577,0.072,2.7,40000,211975,0.335,4298.2,1566589000,0.295,0.007,0.105,0.315,9178860000,0.054,0.111,243701,0.621,478434,16394,0.479,NA,251300,0.331,0.778,0.22,135.82,0.006,26993,0.496,3134003000,0.816,54334
North Las Vegas ,S,27.8,1311616000,0.316,0.122,0.233,0.004,0.154,0.063,0.071,0.154,216961,0.058,10091,0.634,0.09,3.25,51800,61966,0.189,2140.8,2698663000,0.325,0.008,0.075,0.388,1443425000,0.149,0.199,76073,0.474,115488,6821,0.312,NA,236400,0.378,0.744,0.879,101.35,0.008,21657,0.502,476146000,0.766,59256
Pahrump ,S,31.5,NA,0.199,0.197,0.089,F,0.092,0.014,0.254,S,36441,0.036,2590,0.756,0.047,2.44,53800,14800,0.073,120.8,20385000,0.292,0.011,S,0.129,338420000,S,0.021,17824,0.861,24631,NA,0.797,NA,169500,0.132,0.831,0.479,301.73,0.006,22601,0.5,68341000,0.814,40506
Fallon ,F,14.5,NA,0.267,0.105,0.09,F,0.186,0.045,0.131,S,8606,0.058,739,0.4,0.082,2.55,24100,3309,0.351,2369.5,10217000,0.185,0.029,F,0.128,198457000,S,0.028,3979,0.789,7536,23660,0.732,NA,158900,0.108,0.787,0.142,3.63,0.002,22308,0.504,28946000,0.865,47646
Sunrise Manor ,0.018,27.6,151224000,0.3,0.172,0.269,0.014,0.112,0.057,0.091,0.199,189372,0.051,5777,0.571,0.085,3.08,71400,63092,0.319,5678,348294000,0.316,0.009,0.109,0.485,813386000,0.092,0.126,70255,0.489,156120,NA,0.302,NA,181500,0.45,0.779,0.213,33.35,0.006,18998,0.502,483529000,0.721,46478
Whitney ,F,26,NA,0.258,0.126,0.278,F,0.149,0.109,0.094,S,38585,0.057,977,0.578,0.079,2.77,83800,12894,0.341,5726.5,8447000,0.313,0.008,S,0.362,88716000,0.07,0.107,16420,0.54,18273,NA,0.384,NA,180600,0.422,0.762,1.112,6.74,0.008,20997,0.503,45453000,0.805,49355
Henderson ,S,22.9,1634723000,0.226,0.073,0.118,S,0.292,0.072,0.143,0.078,257729,0.048,24846,0.676,0.059,2.53,31900,98205,0.215,2392.3,566334000,0.296,0.007,0.08,0.149,4802982000,0.028,0.051,113586,0.769,175381,19250,0.687,NA,311600,0.162,0.819,0.47,107.73,0.006,35050,0.508,1145524000,0.92,68039
Gardnerville ,F,19.1,NA,0.24,0.06,0.083,F,0.17,0.02,0.201,F,5656,0.027,F,0.511,0.067,2.19,26300,2577,0.19,1177.8,NA,F,0.015,F,0.145,NA,F,0.004,2687,0.889,3357,NA,0.797,NA,259000,0.117,0.732,0.685,4.8,0.002,25814,0.518,NA,0.857,44518
Spring Valley ,0.003,21.7,145278000,0.206,0.091,0.274,S,0.246,0.174,0.116,0.069,178395,0.05,14491,0.533,0.058,2.44,68585,69946,0.401,5369.1,171665000,0.303,0.006,0.144,0.206,2031692000,0.043,0.098,83678,0.579,117390,NA,0.481,NA,273200,0.345,0.765,0.52,33.23,0.008,31242,0.502,309278000,0.888,56135
Boulder City ,F,24.7,NA,0.187,0.082,0.056,F,0.254,0.011,0.252,F,15023,0.03,1507,0.738,0.042,2.42,6500,6223,0.159,72,62626000,S,0.008,F,0.071,95069000,F,0.009,7412,0.923,14966,6329,0.88,NA,314000,0.058,0.885,0.004,208.53,0.003,37778,0.502,27924000,0.9,62171
Spring Creek ,F,39.4,NA,0.305,0.048,0.035,F,0.163,0.006,0.072,S,12361,0.026,463,0.857,0.077,2.95,68550,4573,0.011,210.3,637000,S,0.016,F,0.078,34947000,F,0.003,4394,0.925,10548,NA,0.879,NA,207500,0.08,0.839,0.172,58.77,0.001,29640,0.481,1795000,0.886,85951
Moapa Valley ,F,35.7,NA,0.318,0.11,0.047,F,0.139,0.005,0.158,F,6924,0.029,275,0.866,0.081,3.04,47880,2044,0.027,158.5,1846000,S,0.008,F,0.104,28495000,F,0.002,2793,0.916,5784,NA,0.863,NA,266100,0.067,0.954,0.197,43.67,0.004,21104,0.499,D,0.869,63516
Summerlin South ,F,23.2,NA,0.213,0.05,0.163,F,0.449,0.128,0.18,F,24085,0.039,F,0.735,0.058,2.34,70900,9330,0.118,2497.4,NA,F,0.004,F,0.086,NA,F,0.044,11542,0.762,3735,NA,0.705,NA,438500,0.163,0.806,5.448,9.64,0.004,50186,0.516,NA,0.964,81950
Paradise ,0.003,21.6,1441568000,0.216,0.13,0.256,0.002,0.207,0.095,0.111,0.076,223167,0.055,20926,0.447,0.065,2.46,54600,87963,0.522,4777,3714690000,0.246,0.008,0.089,0.312,5451738000,0.03,0.089,114296,0.598,186070,NA,0.463,NA,241600,0.353,0.764,0.199,46.72,0.01,25761,0.482,15707668000,0.837,49408
Mesquite ,F,13.2,NA,0.202,0.119,0.142,F,0.157,0.018,0.286,0.075,15276,0.02,1915,0.627,0.062,2.33,46000,6098,0.325,478.9,105013000,0.276,0.009,0.021,0.239,155636000,S,0.01,8911,0.835,9389,9973,0.713,NA,232100,0.211,0.766,0.627,31.9,0.002,26489,0.509,264581000,0.833,44221
Carson City,0.006,16.4,621630000,0.214,0.14,0.116,F,0.216,0.021,0.165,0.052,55274,0.029,8470,0.623,0.058,2.53,9700,21467,0.251,382.1,D,0.199,0.024,0.031,0.213,991506000,0.006,0.019,23534,0.811,52457,18025,0.707,NA,270500,0.177,0.797,0.054,144.66,0.002,27568,0.481,127696000,0.88,52067
Silver Springs ,F,32.3,NA,0.2,0.18,0.051,F,0.113,0.009,0.201,F,5296,0.043,F,0.857,0.042,2.75,67200,1833,0.03,74,NA,F,0.02,F,0.074,NA,F,0.003,2456,0.89,4708,NA,0.861,NA,129500,0.093,0.942,0.125,71.6,0.002,17347,0.479,NA,0.807,38490
Lemmon Valley ,F,25.5,NA,0.225,0.074,0.077,F,0.114,0.008,0.108,F,5040,0.034,F,0.846,0.056,2.73,41800,1887,0.019,293.2,NA,F,0.019,F,0.14,NA,F,0.004,1897,0.883,NA,NA,0.806,NA,204400,0.099,0.911,NA,17.19,0.005,25324,0.483,NA,0.827,65166
Winnemucca ,F,22.2,NA,0.281,0.133,0.152,F,0.2,0.009,0.099,S,7396,0.027,738,0.688,0.082,2.72,84800,2603,0.199,787.5,28454000,0.238,0.021,S,0.274,324000000,F,0.006,3214,0.783,7174,40607,0.679,NA,163300,0.215,0.842,0.031,9.39,0.001,26939,0.49,49266000,0.815,62614
Elko ,F,24.8,NA,0.278,0.061,0.131,F,0.178,0.014,0.083,0.027,18297,0.035,1846,0.65,0.085,2.62,22500,6725,0.241,1037.3,338002000,0.231,0.033,S,0.264,593883000,0.022,0.01,7221,0.789,16708,34653,0.669,NA,181500,0.176,0.855,0.095,17.64,0.001,28818,0.487,99765000,0.866,67097
Spanish Springs ,F,28.7,NA,0.269,0.025,0.04,F,0.22,0.021,0.096,S,15064,0.031,903,0.887,0.057,2.86,68350,5149,0.008,270.6,7510000,0.415,0.013,F,0.107,D,F,0.013,5619,0.893,9018,D,0.825,NA,323700,0.072,0.911,0.67,55.66,0.002,33770,0.495,D,0.941,83580
Winchester ,0.008,21.6,NA,0.212,0.195,0.317,F,0.165,0.07,0.146,0.071,27978,0.045,3838,0.414,0.067,2.36,84600,11489,0.642,6443.6,81490000,0.187,0.011,0.065,0.446,1055797000,0.034,0.086,14969,0.56,26958,NA,0.372,NA,179200,0.457,0.78,0.038,4.34,0.006,24280,0.476,1005882000,0.743,37367
Cold Springs ,F,31.4,NA,0.289,0.023,0.101,F,0.127,0.02,0.074,F,8544,0.044,F,0.872,0.075,3.01,14090,3061,0.003,976.2,NA,F,0.011,F,0.142,NA,F,0.018,3210,0.85,3834,NA,0.776,NA,226900,0.143,0.855,1.228,8.75,0.003,23814,0.487,NA,0.876,65352
Sparks ,0.007,21.7,1522340000,0.258,0.11,0.166,F,0.203,0.059,0.113,0.069,90264,0.04,7057,0.613,0.072,2.64,68400,32942,0.263,2524.3,2998822000,0.308,0.012,0.046,0.263,1166353000,0.004,0.026,36455,0.745,66346,13410,0.614,NA,263900,0.257,0.777,0.361,35.76,0.006,25717,0.506,340277000,0.861,56775
Gardnerville Ranchos ,F,22.4,NA,0.232,0.077,0.032,F,0.205,0.011,0.163,F,11312,0.043,756,0.704,0.059,2.54,26500,4662,0.13,753.3,D,0.323,0.028,S,0.128,5000000,F,0.005,4745,0.874,11054,NA,0.806,NA,308800,0.047,0.877,0.023,15.02,0.002,28744,0.51,3429000,0.92,61603
Indian Hills ,F,24.8,NA,0.23,0.119,0.104,F,0.232,0.021,0.166,F,5627,0.035,F,0.716,0.058,2.65,35275,2104,0.055,385.3,NA,F,0.018,F,0.145,NA,F,0.006,2394,0.867,4407,NA,0.787,NA,327600,0.128,0.754,0.277,14.61,0.001,30574,0.507,NA,0.894,56299
Incline Village ,F,18.8,NA,0.172,0.044,0.205,F,0.435,0.022,0.177,F,8777,0.021,F,0.671,0.045,2.4,35100,3508,0.264,407.7,NA,F,0.003,F,0.178,NA,F,0.003,7667,0.869,NA,NA,0.779,NA,804700,0.275,0.841,NA,21.53,0.001,51172,0.482,NA,0.891,80265
Laughlin ,F,15.2,NA,0.148,0.132,0.101,F,0.162,0.021,0.307,0.065,7323,0.038,428,0.423,0.04,2.16,41000,3203,0.573,83.2,D,0.259,0.012,S,0.137,108349000,F,0.031,4966,0.85,7076,NA,0.772,NA,222200,0.157,0.741,0.035,88.04,0.004,25290,0.495,960277000,0.867,41386
Fernley ,F,27.4,249778000,0.277,0.092,0.065,F,0.101,0.02,0.118,S,19368,0.046,1299,0.62,0.08,2.84,24900,6463,0.141,158.6,80444000,0.393,0.018,S,0.144,155120000,0.029,0.01,7975,0.845,8543,12381,0.776,NA,207600,0.142,0.791,1.267,122.12,0.004,21581,0.497,16046000,0.863,53346
